Município,População_residente
AIUABA,17584
ALCANTARAS,11846
ALTANEIRA,7712
ALTO SANTO,16077
AMONTADA,44195
ANTONINA DO NORTE,7402
APUIARES,14742
AQUIRAZ,81581
ARACATI,75392
ARACOIABA-CE,26600
ARARENDA,10983
ARARIPE,21707
ARATUBA,11759
ARNEIROZ,7848
ASSARE,23537
AURORA-CE,24567
BAIXIO,6318
BANABUIU,18313
BARBALHA,61662
BARREIRA,22715
BARRO,22834
BARROQUINHA,15069
BATURITE,36127
BEBERIBE,54315
BELA CRUZ,32851
BOA VIAGEM,54680
BREJO SANTO,50195
CAMOCIM,64147
CAMPOS SALES,27513
CANINDE,77484
CAPISTRANO,17830
CARIDADE,23011
CARIRE,18470
CARIRIACU,27008
CARIUS,18700
CARNAUBAL,17763
CASCAVEL-CE,72706
CATARINA,21041
CATUNDA,10410
CAUCAIA,368918
CEDRO-CE,25612
CHAVAL,13112
CHORO,13608
CHOROZINHO,20286
COREAU,23340
CRATEUS,75241
CRATO,133913
CROATA,18201
CRUZ,25121
DEPUTADO IRAPUAN PINHEIRO,9698
ERERE,7254
EUSEBIO,55035
FARIAS BRITO,19330
FORQUILHA,24680
FORTALEZA,2703391
FORTIM,16776
FRECHEIRINHA,14195
GENERAL SAMPAIO,7767
GRACA,14415
GRANJA,55170
GRANJEIRO,4784
GROAIRAS,11219
GUAIUBA,26508
GUARACIABA DO NORTE,40921
GUARAMIRANGA,5073
HIDROLANDIA-CE,20126
HORIZONTE,69688
IBARETAMA,13385
IBIAPINA,25165
IBICUITINGA,12730
ICAPUI,20183
ICO,68303
IGUATU-CE,103633
INDEPENDENCIA-CE,26196
IPAPORANGA,11597
IPAUMIRIM,12507
IPU,42148
IPUEIRAS-CE,38064
IRACEMA-CE,14351
